"","LFC","P","Padj","DE","DE_dir","labels","delabel"
"4_TFH",-0.417155531241202,0.201,0.272429752066116,FALSE,"NO","4_TFH",NA
"4_TH1",-2.02340587696757,0.0532,0.0991454545454545,FALSE,"NO","4_TH1",NA
"4_TH17",-0.504289944145758,0.0572,0.101965217391304,FALSE,"NO","4_TH17",NA
"4_Th17TO1",-0.703719511455634,0.125,0.18141592920354,FALSE,"NO","4_Th17TO1",NA
"4_TH2",0.159030814989238,0.695,0.744967320261438,FALSE,"NO","4_TH2",NA
"4_TH22",-0.603595697396114,0.0586,0.10223829787234,FALSE,"NO","4_TH22",NA
"4+ (IM STAT)",0.0740544403430424,0.809,0.845070063694268,FALSE,"NO","4+ (IM STAT)",NA
"4+",0.033435676656579,0.907,0.923900621118012,FALSE,"NO","4+",NA
"4+226+",-0.613128665041365,0.0549,0.10004,FALSE,"NO","4+226+",NA
"4+39+",-0.663556522619221,0.0158,0.045459649122807,TRUE,"DOWN","4+39+","4+39+"
"4+DR+",-1.44368384228293,0.00816,0.02624,TRUE,"DOWN","4+DR+","4+DR+"
"4+PD-1+",-1.15057883094326,0.00542,0.0197528888888889,TRUE,"DOWN","4+PD-1+","4+PD-1+"
"4+PD-1+TIGIT-",-1.02384726171057,0.00185,0.00958375,TRUE,"DOWN","4+PD-1+TIGIT-","4+PD-1+TIGIT-"
"4+PD-1+TIGIT+",-1.30220526353209,0.0263,0.0599055555555556,FALSE,"NO","4+PD-1+TIGIT+",NA
"4+PD-1-TIGIT-",0.371362993220809,0.201,0.272429752066116,FALSE,"NO","4+PD-1-TIGIT-",NA
"4+PD-1-TIGIT+",-0.944579413608255,0.27,0.330411764705882,FALSE,"NO","4+PD-1-TIGIT+",NA
"4+TIGIT+",-1.25243573582159,0.0371,0.0790361445783132,FALSE,"NO","4+TIGIT+",NA
"4NV(CTAP2)",1.53401695708593,0.000203,0.00700376470588235,TRUE,"UP","4NV(CTAP2)","4NV(CTAP2)"
"4NV",1.42687188484586,0.000518,0.00700376470588235,TRUE,"UP","4NV","4NV"
"4NV_TH1",1.1866517671824,0.00526,0.0196054545454545,TRUE,"UP","4NV_TH1","4NV_TH1"
